2026-02-28 21:56:39.654191,31.3,46.4,925.86,835.0,478.0,0.0,477.4
2026-02-28 21:56:44.977209,31.3,46.4,925.85,66.0,31.0,0.0,35.7
2026-02-28 21:56:50.303702,31.3,46.4,925.86,0.0,0.0,0.0,0.0
2026-02-28 21:56:55.422673,31.3,46.4,925.89,1000.0,500.0,0.0,500
2026-02-28 21:57:00.766171,31.3,46.4,925.85,0.0,0.0,0.0,0.0
2026-02-28 21:57:05.975580,31.3,46.4,925.84,113.0,15.0,0.0,49.7
2026-02-28 21:57:11.300501,31.3,46.4,925.85,730.0,478.0,0.0,435.4
2026-02-28 21:57:16.419466,31.3,46.4,925.88,0.0,0.0,0.0,0.0
2026-02-28 21:57:21.542620,31.3,46.4,925.86,213.0,131.0,0.0,124.5
2026-02-28 21:57:26.632879,31.3,46.3,925.87,816.0,404.0,0.0,447.6
2026-02-28 21:57:31.779324,31.3,46.4,925.9,903.0,468.0,0.0,500
2026-02-28 21:57:37.102648,31.3,46.4,925.86,0.0,0.0,0.0,0.0
2026-02-28 21:57:42.433807,31.3,46.4,925.88,959.0,475.0,0.0,500
2026-02-28 21:57:47.763593,31.3,46.4,925.89,904.0,440.0,0.0,493.6
2026-02-28 21:57:53.079675,31.3,46.3,925.85,674.0,331.0,0.0,368.9
2026-02-28 21:57:58.405608,31.3,46.3,925.88,938.0,500.0,0.0,500
2026-02-28 21:58:03.833069,31.3,46.4,925.88,19.0,16.0,0.0,12.4
2026-02-28 21:58:09.082027,31.3,46.3,925.9,0.0,0.0,0.0,0.0
2026-02-28 21:58:14.343715,31.3,46.3,925.89,1000.0,489.0,0.0,500
2026-02-28 21:58:19.703717,31.3,46.3,925.9,10.0,0.0,0.0,4.0
2026-02-28 21:58:25.028294,31.3,46.3,925.9,894.0,432.0,0.0,487.2
2026-02-28 21:58:30.201356,31.3,46.3,925.89,684.0,252.0,0.0,349.2
2026-02-28 21:58:35.471039,31.3,46.3,925.87,947.0,500.0,0.0,500
2026-02-28 21:58:40.848922,31.3,46.3,925.87,167.0,84.0,0.0,92.0
2026-02-28 21:58:46.126723,31.3,46.3,925.89,1000.0,500.0,0.0,500
2026-02-28 21:58:51.450992,31.3,46.3,925.88,17.0,0.0,0.0,6.8
2026-02-28 21:58:56.933060,31.3,46.3,925.89,457.0,208.0,0.0,245.2
2026-02-28 21:59:02.159524,31.3,46.3,925.91,1000.0,500.0,0.0,500
2026-02-28 21:59:07.296290,31.3,46.3,925.91,584.0,285.0,0.0,319.1
2026-02-28 21:59:12.550514,31.3,46.3,925.9,774.0,423.0,0.0,436.5
2026-02-28 21:59:17.865783,31.3,46.3,925.89,980.0,426.0,0.0,500
2026-02-28 21:59:23.002961,31.3,46.3,925.88,253.0,145.0,0.0,144.7
2026-02-28 21:59:28.172633,31.3,46.3,925.91,133.0,74.0,0.0,75.4
2026-02-28 21:59:33.684996,31.3,46.3,925.91,1000.0,442.0,0.0,500
2026-02-28 21:59:39.071250,31.3,46.3,925.91,65.0,24.0,0.0,33.2
2026-02-28 21:59:44.492859,31.3,46.3,925.93,0.0,28.0,0.0,8.4
2026-02-28 21:59:49.825270,31.3,46.3,925.9,93.0,8.0,0.0,39.6
2026-02-28 21:59:55.146964,31.3,46.3,925.94,546.0,270.0,0.0,299.4
2026-02-28 22:00:00.477180,31.3,46.3,925.89,0.0,4.0,0.0,1.2
2026-02-28 22:00:05.803605,31.3,46.3,925.91,0.0,0.0,0.0,0.0
2026-02-28 22:00:11.319699,31.3,46.3,925.9,832.0,427.0,0.0,460.9
2026-02-28 22:00:16.645968,31.3,46.3,925.93,0.0,0.0,0.0,0.0
2026-02-28 22:00:21.967301,31.2,46.3,925.92,919.0,431.0,0.0,496.9
2026-02-28 22:00:27.107159,31.3,46.3,925.94,11.0,0.0,0.0,4.4
2026-02-28 22:00:32.416988,31.3,46.2,925.93,0.0,0.0,0.0,0.0
2026-02-28 22:00:37.743871,31.2,46.2,925.93,0.0,26.0,0.0,7.8
2026-02-28 22:00:43.063465,31.2,46.1,925.91,105.0,43.0,0.0,54.9
2026-02-28 22:00:48.402385,31.2,46.1,925.91,0.0,0.0,0.0,0.0
